target_chembl_id,target_organism,document_journal,document_year,activity_id,standard_type,molecule_pref_name,target_pref_name,assay_chembl_id,bao_format,pchembl_value,assay_description
CHEMBL612566,Homo sapiens,J. Nat. Prod.,2002,2533623,IC50,HECTOCHLORIN,CA46,CHEMBL997469,BAO_0000219,7.7,Antiproliferative activity against human CA46 cells after 24 hrs
CHEMBL612558,None,J. Nat. Prod.,2002,2533624,IC50,HECTOCHLORIN,ADMET,CHEMBL997470,BAO_0000219,6.52,Antiproliferative activity against rat kangaroo PtK2 cells after 48 hrs
CHEMBL612545,None,J. Nat. Prod.,2002,2533625,EC50,HECTOCHLORIN,Unchecked,CHEMBL957782,BAO_0000221,4.7,Stimulation of rabbit muscle actin polymerization by centrifugation assay
