target_chembl_id,target_organism,document_journal,document_year,activity_id,standard_type,molecule_pref_name,target_pref_name,assay_chembl_id,bao_format,pchembl_value,assay_description
CHEMBL1075138,Homo sapiens,None,None,3935010,Potency,None,Tyrosyl-DNA phosphodiesterase 1,CHEMBL1614364,BAO_0000357,4.25,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Tyrosyl-DNA Phosphodiesterase (TDP1). (Class of assay: confirmatory) 
CHEMBL612545,None,None,None,10324004,AC50,None,Unchecked,CHEMBL1963913,BAO_0000219,4.66,PUBCHEM_BIOASSAY: Schnurri-3 Inhibitors: specific inducers of adult bone formation Measured in Cell-Based System Using Plate Reader - 2134-01_Inhibitor_Dose_CherryPick_Activity. (Class of assay: confirmatory) 
CHEMBL612545,None,None,None,10621163,AC50,None,Unchecked,CHEMBL1963999,BAO_0000219,4.58,PUBCHEM_BIOASSAY: Shn3: Dual-Go Shn3RL cells Measured in Cell-Based System Using Plate Reader - 2134-02_Inhibitor_Dose_CherryPick_Activity. (Class of assay: confirmatory) 
