target_chembl_id,target_organism,document_journal,document_year,activity_id,standard_type,molecule_pref_name,target_pref_name,assay_chembl_id,bao_format,pchembl_value,assay_description
CHEMBL236,Homo sapiens,J. Nat. Prod.,2013,13283744,IC50,None,Delta opioid receptor,CHEMBL2378217,BAO_0000219,4.83,Displacement of [3H]-enkephalin from human delta opioid receptor transfected in CHOK1 cells after 60 mins
CHEMBL236,Homo sapiens,J. Nat. Prod.,2013,13283749,EC50,None,Delta opioid receptor,CHEMBL2378028,BAO_0000219,6.62,Agonist activity at human delta opioid receptor transfected in CHOK1 cells after 60 mins by [35S]GTPgammaS binding assay
CHEMBL236,Homo sapiens,J. Nat. Prod.,2013,13283766,Ki,None,Delta opioid receptor,CHEMBL2378217,BAO_0000219,5.14,Displacement of [3H]-enkephalin from human delta opioid receptor transfected in CHOK1 cells after 60 mins
