target_chembl_id,target_organism,document_journal,document_year,activity_id,standard_type,molecule_pref_name,target_pref_name,assay_chembl_id,bao_format,pchembl_value,assay_description
CHEMBL1250378,Homo sapiens,Nat. Chem. Biol.,2007,3441227,IC50,None,Splicing factor 3B subunit 3,CHEMBL1243914,BAO_0000219,8.18,Inhibition of SAP130 in VEGF-stimulated human U251 cells by PLAP reporter gene assay
CHEMBL1250378,Homo sapiens,Nat. Chem. Biol.,2007,3441239,IC50,None,Splicing factor 3B subunit 3,CHEMBL1243677,BAO_0000219,8.31,Inhibition of SAP130 mediated cell growth in human WiDr cells
CHEMBL614647,Homo sapiens,Nat. Chem. Biol.,2007,3441270,IC50,None,WiDr,CHEMBL1243915,BAO_0000219,8.21,Cytotoxicity against human WiDr cells
