target_chembl_id,target_organism,document_journal,document_year,activity_id,standard_type,molecule_pref_name,target_pref_name,assay_chembl_id,bao_format,pchembl_value,assay_description
CHEMBL612518,Homo sapiens,J. Nat. Prod.,2011,6188451,IC50,HOMOTEMSIROLIMUS C,LNCaP,CHEMBL1777506,BAO_0000219,8.1,Antiproliferative activity against human LNCAP cells after 3 days by MTS assay
CHEMBL2842,Homo sapiens,J. Nat. Prod.,2011,6188455,IC50,HOMOTEMSIROLIMUS C,Serine/threonine-protein kinase mTOR,CHEMBL1777505,BAO_0000219,5.68,Inhibition of FKBP12-independent human recombinant mTOR expressed in HEK293 cells using His6-S6K1 as a substrate by DELFIA assay
CHEMBL3879801,None,J. Nat. Prod.,2011,6188459,IC50,HOMOTEMSIROLIMUS C,NON-PROTEIN TARGET,CHEMBL1777507,BAO_0000219,8.3,Antiproliferative activity against human MDA468 cells after 3 days by MTS assay
