target_chembl_id,target_organism,document_journal,document_year,activity_id,standard_type,molecule_pref_name,target_pref_name,assay_chembl_id,bao_format,pchembl_value,assay_description
CHEMBL612348,Trypanosoma brucei rhodesiense,J. Nat. Prod.,2014,14576131,IC50,None,Trypanosoma brucei rhodesiense,CHEMBL3241192,BAO_0000218,5.29,Antitrypanosomal activity against bloodstream forms of Trypanosoma brucei rhodesiense STIB900
CHEMBL368,Trypanosoma cruzi,J. Nat. Prod.,2014,14576134,IC50,None,Trypanosoma cruzi,CHEMBL3241193,BAO_0000218,4.25,Antitrypanosomal activity against trypomastigote forms of Trypanosoma cruzi Tulahuen C4
CHEMBL2367131,Plasmodium falciparum NF54,J. Nat. Prod.,2014,14576137,IC50,None,Plasmodium falciparum NF54,CHEMBL3241194,BAO_0000218,6.21,Antiplasmodial activity against erythrocytic stages of Plasmodium falciparum NF54
CHEMBL614793,Rattus norvegicus,J. Nat. Prod.,2014,14576140,IC50,None,L6,CHEMBL3241195,BAO_0000219,4.04,Cytotoxicity against rat L6 cells
