target_chembl_id,target_organism,document_journal,document_year,activity_id,standard_type,molecule_pref_name,target_pref_name,assay_chembl_id,bao_format,pchembl_value,assay_description
CHEMBL612518,Homo sapiens,J. Nat. Prod.,2011,6188450,IC50,TEMSIROLIMUS,LNCaP,CHEMBL1777506,BAO_0000219,9.3,Antiproliferative activity against human LNCAP cells after 3 days by MTS assay
CHEMBL2842,Homo sapiens,J. Nat. Prod.,2011,6188454,IC50,TEMSIROLIMUS,Serine/threonine-protein kinase mTOR,CHEMBL1777505,BAO_0000219,5.75,Inhibition of FKBP12-independent human recombinant mTOR expressed in HEK293 cells using His6-S6K1 as a substrate by DELFIA assay
CHEMBL3879801,None,J. Nat. Prod.,2011,6188460,IC50,TEMSIROLIMUS,NON-PROTEIN TARGET,CHEMBL1777507,BAO_0000219,8.1,Antiproliferative activity against human MDA468 cells after 3 days by MTS assay
CHEMBL614516,Homo sapiens,J. Nat. Prod.,2013,12666297,IC50,TEMSIROLIMUS,A498,CHEMBL2343309,BAO_0000219,6.3,Cytotoxicity against human A498 cells assessed as inhibition of cell viability after 6 days by MTT assay
CHEMBL614516,Homo sapiens,Bioorg. Med. Chem. Lett.,2013,12726743,IC50,TEMSIROLIMUS,A498,CHEMBL2353531,BAO_0000219,4.46,Cytotoxicity against human A498 cells after 72 hrs by MTT assay
CHEMBL1075435,Homo sapiens,None,None,13201877,IC50,TEMSIROLIMUS,DOK,CHEMBL2363186,BAO_0000219,7.39,SANGER: Inhibition of human DOK cell growth in a cell viability assay.
CHEMBL2366079,Homo sapiens,None,None,13202016,IC50,TEMSIROLIMUS,DSH1,CHEMBL2363187,BAO_0000219,6.41,SANGER: Inhibition of human DSH1 cell growth in a cell viability assay.
CHEMBL2366246,Homo sapiens,None,None,13202060,IC50,TEMSIROLIMUS,DU-4475,CHEMBL2363189,BAO_0000219,7.93,SANGER: Inhibition of human DU-4475 cell growth in a cell viability assay.
CHEMBL612519,Homo sapiens,None,None,13202186,IC50,TEMSIROLIMUS,Daoy,CHEMBL2363191,BAO_0000219,7.29,SANGER: Inhibition of human Daoy cell growth in a cell viability assay.
CHEMBL613508,Homo sapiens,None,None,13202352,IC50,TEMSIROLIMUS,DU-145,CHEMBL2363188,BAO_0000219,6.25,SANGER: Inhibition of human DU-145 cell growth in a cell viability assay.
CHEMBL614487,Homo sapiens,None,None,13202649,IC50,TEMSIROLIMUS,EKVX,CHEMBL2363207,BAO_0000219,6.26,SANGER: Inhibition of human EKVX cell growth in a cell viability assay.
CHEMBL2366281,Homo sapiens,None,None,13202787,IC50,TEMSIROLIMUS,EM-2,CHEMBL2363208,BAO_0000219,7.27,SANGER: Inhibition of human EM-2 cell growth in a cell viability assay.
CHEMBL1075443,Homo sapiens,None,None,13202839,IC50,TEMSIROLIMUS,EPLC-272H,CHEMBL2363209,BAO_0000219,6.04,SANGER: Inhibition of human EPLC-272H cell growth in a cell viability assay.
CHEMBL2366118,Homo sapiens,None,None,13203019,IC50,TEMSIROLIMUS,ES4,CHEMBL2363212,BAO_0000219,7.42,SANGER: Inhibition of human ES4 cell growth in a cell viability assay.
CHEMBL2366312,Homo sapiens,None,None,13203158,IC50,TEMSIROLIMUS,ES5,CHEMBL2363213,BAO_0000219,7.21,SANGER: Inhibition of human ES5 cell growth in a cell viability assay.
CHEMBL2366146,Homo sapiens,None,None,13203215,IC50,TEMSIROLIMUS,ES1,CHEMBL2363210,BAO_0000219,7.61,SANGER: Inhibition of human ES1 cell growth in a cell viability assay.
CHEMBL2366135,Homo sapiens,None,None,13203354,IC50,TEMSIROLIMUS,ES3,CHEMBL2363211,BAO_0000219,7.07,SANGER: Inhibition of human ES3 cell growth in a cell viability assay.
CHEMBL1075432,Homo sapiens,None,None,13203503,IC50,TEMSIROLIMUS,Detroit562,CHEMBL2363193,BAO_0000219,6.62,SANGER: Inhibition of human Detroit562 cell growth in a cell viability assay.
CHEMBL1075436,Homo sapiens,None,None,13203602,IC50,TEMSIROLIMUS,DoTc2-4510,CHEMBL2363194,BAO_0000219,5.75,SANGER: Inhibition of human DoTc2-4510 cell growth in a cell viability assay.
CHEMBL2366240,Homo sapiens,None,None,13203895,IC50,TEMSIROLIMUS,EC-GI-10,CHEMBL2363197,BAO_0000219,6.28,SANGER: Inhibition of human EC-GI-10 cell growth in a cell viability assay.
CHEMBL2366117,Homo sapiens,None,None,13203931,IC50,TEMSIROLIMUS,ECC10,CHEMBL2363198,BAO_0000219,6.23,SANGER: Inhibition of human ECC10 cell growth in a cell viability assay.
CHEMBL1075439,Homo sapiens,None,None,13204160,IC50,TEMSIROLIMUS,EFM-19,CHEMBL2363202,BAO_0000219,7.09,SANGER: Inhibition of human EFM-19 cell growth in a cell viability assay.
CHEMBL1075440,Homo sapiens,None,None,13204259,IC50,TEMSIROLIMUS,EFO-21,CHEMBL2363203,BAO_0000219,5.89,SANGER: Inhibition of human EFO-21 cell growth in a cell viability assay.
CHEMBL1075441,Homo sapiens,None,None,13204358,IC50,TEMSIROLIMUS,EFO-27,CHEMBL2363204,BAO_0000219,7.48,SANGER: Inhibition of human EFO-27 cell growth in a cell viability assay.
CHEMBL1075442,Homo sapiens,None,None,13204457,IC50,TEMSIROLIMUS,EGI-1,CHEMBL2363205,BAO_0000219,7.66,SANGER: Inhibition of human EGI-1 cell growth in a cell viability assay.
CHEMBL614516,Homo sapiens,None,None,13204578,IC50,TEMSIROLIMUS,A498,CHEMBL2363731,BAO_0000219,6.36,SANGER: Inhibition of human A498 cell growth in a cell viability assay.
