target_chembl_id,target_organism,document_journal,document_year,activity_id,standard_type,molecule_pref_name,target_pref_name,assay_chembl_id,bao_format,pchembl_value,assay_description
CHEMBL4822,Homo sapiens,Bioorg. Med. Chem. Lett.,2005,1433738,Ki,None,Beta-secretase 1,CHEMBL828805,BAO_0000019,7.6,Binding affinity for human brain memapsin 2
CHEMBL2525,Homo sapiens,Bioorg. Med. Chem. Lett.,2005,1433739,Ki,None,Beta secretase 2,CHEMBL876369,BAO_0000019,8.35,Binding affinity for human brain memapsin 1
CHEMBL4822,Homo sapiens,J. Med. Chem.,2013,13352807,Ki,None,Beta-secretase 1,CHEMBL2399170,BAO_0000019,7.6,Inhibition of human brain BACE1
CHEMBL4822,Homo sapiens,Bioorg. Med. Chem. Lett.,2013,13392351,Ki,None,Beta-secretase 1,CHEMBL2411011,BAO_0000019,7.6,Inhibition of human brain BACE1
