target_chembl_id,target_organism,document_journal,document_year,activity_id,standard_type,molecule_pref_name,target_pref_name,assay_chembl_id,bao_format,pchembl_value,assay_description
CHEMBL387,Homo sapiens,J. Med. Chem.,2007,2000976,IC50,None,MCF7,CHEMBL901575,BAO_0000219,8.29,Growth inhibition of MCF7 cells
CHEMBL2093865,Homo sapiens,J. Med. Chem.,2007,2000982,IC50,None,Histone deacetylase,CHEMBL901576,BAO_0000224,8.14,Inhibition of HDAC in HeLa nuclear extract in presence of DTT
CHEMBL325,Homo sapiens,J. Med. Chem.,2007,2000988,IC50,None,Histone deacetylase 1,CHEMBL901577,BAO_0000357,8.8,Inhibition of HDAC1 in presence of DTT
CHEMBL1865,Homo sapiens,J. Med. Chem.,2007,2000994,IC50,None,Histone deacetylase 6,CHEMBL901578,BAO_0000357,6.05,Inhibition of HDAC6 in presence of DTT
