target_chembl_id,target_organism,document_journal,document_year,activity_id,standard_type,molecule_pref_name,target_pref_name,assay_chembl_id,bao_format,pchembl_value,assay_description
CHEMBL390,Homo sapiens,J. Nat. Prod.,2013,13853556,IC50,None,PC-3,CHEMBL3095709,BAO_0000219,5.3,Cytotoxicity against human PC3 cells by MTT assay
CHEMBL3879801,None,J. Nat. Prod.,2013,13853560,IC50,None,NON-PROTEIN TARGET,CHEMBL3095708,BAO_0000219,5.52,Cytotoxicity against human MDA-MB-431 cells by MTT assay
